s,c,specialistAtCenter
196,161,1
197,62,1
198,101,1
199,228,1
200,263,1
201,124,1
202,229,1
203,8,1
204,8,1
205,229,1
206,39,1
206,229,1
207,8,1
208,8,1
210,8,1
211,8,1
212,33,1
213,206,1
214,229,1
216,39,1
218,229,1
219,155,1
220,39,1
221,39,1
223,33,1
223,259,1
224,190,1
226,160,1
227,206,1
228,206,1
229,163,1
230,229,1
231,160,1
231,227,1
232,229,1
233,47,1
234,229,1
235,229,1
236,66,1
236,107,1
237,35,1
237,229,1
238,39,1
239,192,1
241,33,1
241,231,1
242,186,1
243,35,1
245,102,1
245,214,1
246,164,1
247,9,1
247,63,1
248,106,1
249,92,1
251,99,1
252,18,1
252,218,1
253,143,1
254,281,1
255,275,1
256,29,1
258,110,1
258,259,1
259,36,1
261,35,1
261,240,1
262,35,1
263,22,1
263,113,1
265,41,1
265,240,1
266,61,1
266,135,1
267,35,1
268,35,1
270,194,1
271,41,1
272,39,1
273,35,1
274,265,1
275,52,1
278,35,1
278,97,1
279,112,1
280,259,1
281,218,1
282,9,1
283,259,1
284,265,1
285,9,1
286,72,1
287,85,1
287,152,1
289,47,1
289,88,1
290,214,1
290,259,1
291,41,1
292,47,1
292,143,1
293,229,1
294,135,1
295,88,1
296,228,1
296,281,1
297,275,1
298,228,1
299,34,1
300,226,1
301,35,1
302,35,1
302,95,1
303,93,1
306,18,1
306,97,1
307,41,1
308,200,1
309,206,1
309,229,1
311,234,1
313,231,1
313,272,1
314,161,1
315,76,1
315,228,1
316,94,1
317,259,1
318,97,1
320,160,1
321,76,1
322,123,1
323,44,1
323,228,1
324,41,1
324,42,1
325,101,1
329,265,1
330,265,1
331,18,1
331,27,1
332,113,1
333,55,1
333,72,1
334,76,1
336,76,1
336,228,1
337,35,1
337,167,1
338,59,1
338,228,1
338,255,1
338,265,1
339,79,1
340,150,1
341,265,1
342,9,1
343,76,1
343,257,1
344,125,1
345,35,1
346,41,1
347,258,1
348,97,1
350,59,1
352,88,1
353,200,1
354,52,1
354,219,1
355,113,1
357,236,1
358,277,1
359,97,1
360,162,1
361,47,1
362,33,1
363,269,1
365,220,1
366,199,1
367,41,1
368,228,1
369,131,1
370,73,1
372,271,1
373,243,1
375,150,1
378,8,1
379,125,1
380,51,1
380,101,1
381,143,1
382,35,1
384,216,1
385,112,1
386,99,1
387,205,1
388,80,1
389,35,1
390,263,1
391,35,1
391,199,1
392,18,1
393,151,1
394,52,1
394,125,1
395,35,1
395,281,1
396,41,1
398,35,1
398,97,1
399,35,1
399,63,1
401,93,1
402,244,1
402,251,1
403,39,1
404,228,1
405,139,1
406,211,1
407,129,1
408,41,1
408,102,1
410,35,1
411,41,1
412,143,1
413,62,1
413,263,1
414,101,1
415,263,1
416,281,1
417,186,1
418,88,1
420,111,1
421,47,1
421,110,1
421,137,1
422,46,1
423,97,1
424,35,1
424,97,1
425,236,1
426,40,1
427,69,1
428,97,1
429,165,1
429,245,1
430,125,1
431,128,1
432,204,1
433,257,1
434,144,1
435,170,1
435,176,1
436,47,1
437,158,1
