d,h,s,c,specialistAtCenterByHour
1,0,3632,3,1
1,1,3632,3,1
1,6,3615,3,1
1,7,3615,3,1
1,12,2263,3,1
1,12,4669,3,1
1,13,729,3,1
1,13,2263,3,1
1,13,4669,3,1
1,14,729,3,1
1,14,2263,3,1
1,14,3615,3,1
1,14,4669,3,1
1,14,5157,3,1
1,15,729,3,1
1,15,2263,3,1
1,15,3615,3,1
1,15,4669,3,1
1,15,5157,3,1
1,16,729,3,1
1,16,2263,3,1
1,16,4669,3,1
1,16,5157,3,1
1,17,2263,3,1
1,17,4669,3,1
1,17,5157,3,1
1,18,2263,3,1
1,18,3632,3,1
1,18,4669,3,1
1,19,729,3,1
1,19,2263,3,1
1,19,3632,3,1
1,19,3852,3,1
1,19,4669,3,1
1,19,5157,3,1
1,20,729,3,1
1,20,3632,3,1
1,20,3852,3,1
1,20,5157,3,1
1,21,729,3,1
1,21,3519,3,1
1,21,3632,3,1
1,21,3852,3,1
1,21,5157,3,1
1,22,729,3,1
1,22,3632,3,1
1,22,3852,3,1
1,22,5157,3,1
1,22,5509,3,1
1,23,3632,3,1
2,0,3519,3,1
2,0,5509,3,1
2,1,3632,3,1
2,1,5509,3,1
2,2,3519,3,1
2,3,3519,3,1
2,4,3519,3,1
2,5,3519,3,1
2,5,3615,3,1
2,6,915,3,1
2,6,4016,3,1
2,7,915,3,1
2,7,2025,3,1
2,7,3615,3,1
2,7,4016,3,1
2,8,915,3,1
2,8,2025,3,1
2,8,3852,3,1
2,8,4016,3,1
2,9,915,3,1
2,9,2025,3,1
2,9,3615,3,1
2,9,3852,3,1
2,9,4016,3,1
2,10,915,3,1
2,10,2025,3,1
2,10,3615,3,1
2,10,3852,3,1
2,10,4016,3,1
2,11,850,3,1
2,11,3615,3,1
2,11,3852,3,1
2,11,4016,3,1
2,11,4017,3,1
2,11,5603,3,1
2,12,850,3,1
2,12,2263,3,1
2,12,3615,3,1
2,12,3852,3,1
2,12,4016,3,1
2,12,4017,3,1
2,12,4669,3,1
2,12,5603,3,1
2,13,729,3,1
2,13,850,3,1
2,13,2025,3,1
2,13,2263,3,1
2,13,3615,3,1
2,13,3852,3,1
2,13,4016,3,1
2,13,4017,3,1
2,13,4669,3,1
2,13,5603,3,1
2,14,729,3,1
2,14,850,3,1
2,14,2025,3,1
2,14,2263,3,1
2,14,2443,3,1
2,14,3615,3,1
2,14,3852,3,1
2,14,4017,3,1
2,14,4669,3,1
2,14,5157,3,1
2,14,5603,3,1
2,15,729,3,1
2,15,850,3,1
2,15,2025,3,1
2,15,2263,3,1
2,15,2443,3,1
2,15,3615,3,1
2,15,3852,3,1
2,15,4017,3,1
2,15,4669,3,1
2,15,5157,3,1
2,16,850,3,1
2,16,2263,3,1
2,16,2443,3,1
2,16,4017,3,1
2,16,4669,3,1
2,16,5157,3,1
2,17,850,3,1
2,17,1961,3,1
2,17,2263,3,1
2,17,2443,3,1
2,17,3615,3,1
2,17,4017,3,1
2,17,4669,3,1
2,17,5157,3,1
2,18,850,3,1
2,18,1961,3,1
2,18,2263,3,1
2,18,2443,3,1
2,18,3632,3,1
2,18,4669,3,1
2,19,729,3,1
2,19,850,3,1
2,19,1961,3,1
2,19,2263,3,1
2,19,2443,3,1
2,19,4669,3,1
2,19,5157,3,1
2,20,729,3,1
2,20,850,3,1
2,20,1961,3,1
2,20,2443,3,1
2,20,3632,3,1
2,20,5157,3,1
2,20,5603,3,1
2,21,729,3,1
2,21,1961,3,1
2,21,2443,3,1
2,21,3632,3,1
2,21,4017,3,1
2,21,5157,3,1
2,21,5603,3,1
2,22,729,3,1
2,22,3519,3,1
2,22,3632,3,1
2,22,4017,3,1
2,22,5157,3,1
2,23,3632,3,1
3,0,1961,3,1
3,0,3519,3,1
3,0,3632,3,1
3,0,5509,3,1
3,1,1961,3,1
3,1,5509,3,1
3,2,1961,3,1
3,2,3519,3,1
3,3,3519,3,1
3,4,3519,3,1
3,5,3519,3,1
3,6,915,3,1
3,6,4016,3,1
3,7,915,3,1
3,7,2025,3,1
3,7,4016,3,1
3,7,5540,3,1
3,8,915,3,1
3,8,2025,3,1
3,8,3852,3,1
3,8,4016,3,1
3,8,5540,3,1
3,9,915,3,1
3,9,2025,3,1
3,9,3852,3,1
3,9,4016,3,1
3,9,5540,3,1
3,10,915,3,1
3,10,2025,3,1
3,10,3852,3,1
3,10,4016,3,1
3,10,5540,3,1
3,11,850,3,1
3,11,3852,3,1
3,11,4016,3,1
3,11,5540,3,1
3,11,5603,3,1
3,12,850,3,1
3,12,2263,3,1
3,12,3852,3,1
3,12,4016,3,1
3,12,4669,3,1
3,12,5540,3,1
3,12,5603,3,1
3,13,850,3,1
3,13,2025,3,1
3,13,2263,3,1
3,13,3436,3,1
3,13,3852,3,1
3,13,4016,3,1
