s,SpecialistHourlyCapacity,SpecialistIsFullTime
1,75.0,
2,75.0,1.0
3,75.0,1.0
4,75.0,1.0
5,75.0,1.0
6,75.0,1.0
7,75.0,1.0
8,75.0,1.0
9,75.0,1.0
10,75.0,1.0
11,75.0,
12,75.0,1.0
13,75.0,1.0
14,75.0,
15,75.0,1.0
16,75.0,1.0
17,75.0,1.0
18,75.0,1.0
19,75.0,1.0
20,75.0,1.0
21,75.0,1.0
22,75.0,1.0
23,75.0,1.0
24,75.0,1.0
25,75.0,1.0
26,75.0,1.0
27,75.0,1.0
28,75.0,1.0
29,75.0,1.0
30,75.0,1.0
31,75.0,1.0
32,75.0,1.0
33,75.0,1.0
34,75.0,1.0
35,75.0,1.0
36,75.0,1.0
37,75.0,
38,75.0,1.0
39,75.0,1.0
40,75.0,1.0
41,75.0,
42,75.0,
43,75.0,
44,79.88,
45,75.0,
46,75.0,
47,75.0,
48,75.0,
49,75.0,
50,75.0,
51,75.0,
52,75.0,
53,75.0,
54,75.0,
55,75.0,
56,75.0,
57,75.0,
58,75.0,
59,75.0,
60,75.0,
61,75.0,
62,75.0,
63,75.0,
64,75.0,
65,75.0,
66,75.0,
67,75.0,
68,75.0,
69,75.0,
70,75.0,
71,75.0,
72,75.0,
73,75.0,
74,75.0,
75,75.0,
76,300.33,
77,75.0,
78,75.0,
79,75.0,
80,75.0,
81,75.0,
82,75.0,
83,75.0,
84,75.0,
85,75.0,
86,75.0,
87,75.0,
88,75.0,
89,75.0,
90,75.0,
91,75.0,
92,75.0,
93,75.0,
94,75.0,
95,95.88,
96,75.0,
97,75.0,
98,75.0,
99,75.0,
100,75.0,
101,75.0,
102,75.0,
103,75.0,
104,75.0,
105,75.0,
106,75.0,
107,75.0,
108,75.0,
109,110.12,
110,75.0,
111,242.41,
112,75.0,
113,75.0,
114,75.0,
115,75.0,
116,75.0,
117,75.0,
118,75.0,
119,75.0,
120,75.0,
121,75.0,
122,106.65,
123,75.0,
124,84.96,
125,75.0,
126,75.0,
127,75.0,
128,75.0,
129,75.0,
130,75.0,
131,75.0,
132,75.0,
133,75.0,
134,75.0,
135,75.0,
136,198.26,
137,75.0,
138,75.0,
139,75.0,
140,75.0,
141,268.53,
142,75.0,
143,75.0,
144,337.87,
145,75.0,
146,75.0,
147,75.0,
148,75.0,
149,75.0,
150,50.35,
151,75.0,
152,75.0,
153,75.0,
154,75.0,
155,75.0,
156,75.0,
157,75.0,1.0
158,75.0,1.0
159,348.01,1.0
160,75.0,1.0
161,75.0,1.0
162,75.0,1.0
163,421.42,1.0
164,75.0,1.0
165,75.0,1.0
166,75.0,1.0
167,121.55,1.0
168,75.0,1.0
169,75.0,1.0
170,102.51,1.0
171,75.0,1.0
172,75.0,1.0
173,75.0,1.0
174,75.0,1.0
175,75.0,1.0
176,213.33,1.0
177,75.0,1.0
178,75.0,1.0
179,75.0,1.0
180,75.0,1.0
181,75.0,1.0
182,75.0,1.0
183,75.0,1.0
184,75.0,1.0
185,75.0,1.0
186,75.0,1.0
187,75.0,1.0
188,75.0,1.0
189,75.0,1.0
190,75.0,1.0
191,75.0,1.0
192,75.0,1.0
193,75.0,1.0
194,75.0,1.0
195,75.0,1.0
196,99.92,
197,233.09,1.0
198,239.88,1.0
199,136.48,
200,70.95,
201,79.19,
202,222.43,
203,94.96,
204,146.36,
205,81.4,
206,148.95,
207,264.08,
208,152.74,
209,75.0,
210,106.99,
211,149.81,
212,116.53,
213,113.14,
214,72.56,
215,75.0,
