s,c,SpecialistPreference
44,143,1
76,94,1
80,265,1
95,259,1
109,8,2
109,33,3
109,231,1
111,229,1
122,8,1
124,8,1
136,259,1
141,35,1
144,35,1
150,259,1
159,39,3
159,61,1
159,128,2
163,48,3
163,66,2
163,107,6
163,133,5
163,175,4
163,237,1
167,277,1
170,135,1
196,161,2
196,281,1
197,62,1
197,101,2
198,101,1
199,228,1
200,263,1
201,124,2
201,196,3
201,259,1
202,229,1
203,8,1
204,8,1
205,229,1
206,39,2
206,229,1
207,8,1
208,8,1
210,8,1
210,229,2
211,8,2
211,229,1
212,33,2
212,272,1
213,33,1
213,206,2
214,39,2
214,229,1
216,39,1
218,229,1
219,39,1
219,155,2
220,39,1
221,39,1
223,33,2
223,259,1
224,190,1
226,160,1
227,206,1
228,206,1
229,163,1
230,229,1
231,144,3
231,160,2
231,227,1
232,229,1
233,47,1
234,229,1
235,229,1
236,66,2
236,107,1
237,35,2
237,229,1
238,39,1
239,192,2
239,236,3
239,248,1
241,33,1
241,231,2
242,186,1
243,35,2
243,42,1
245,102,2
245,214,1
246,41,1
246,164,2
247,9,1
247,63,2
248,8,1
248,106,2
249,92,1
251,99,1
252,18,1
252,218,2
253,143,1
254,281,1
255,275,1
256,29,1
256,216,2
256,223,3
258,35,2
258,110,1
258,259,3
259,36,1
261,35,2
261,240,1
262,35,3
262,131,1
262,263,2
263,22,2
263,62,3
263,113,1
265,41,1
265,71,2
265,240,3
266,61,1
266,135,2
267,35,1
268,35,1
270,33,2
270,194,1
271,41,1
272,39,1
273,35,1
274,265,1
275,52,1
278,35,2
278,97,1
279,41,1
279,112,3
279,259,2
280,259,1
281,56,1
281,218,2
282,9,1
283,259,1
284,265,1
285,9,1
286,72,1
287,85,2
287,152,1
289,47,2
289,88,1
289,95,3
290,214,2
290,259,1
291,41,1
291,259,2
292,42,3
292,47,1
292,110,2
292,143,4
293,229,1
294,40,2
294,135,1
295,88,4
295,95,2
295,103,3
295,137,1
296,228,1
296,281,2
297,275,1
298,228,1
299,20,1
299,34,2
300,226,1
301,5,2
301,35,3
301,263,1
302,35,1
302,95,2
303,93,2
303,124,1
303,135,3
306,18,2
306,97,1
307,41,1
307,265,2
308,200,1
309,206,1
309,229,2
311,234,1
313,231,2
313,272,1
314,83,1
314,161,4
314,228,2
314,281,3
315,76,1
315,228,2
316,30,1
316,94,3
316,150,2
317,56,2
317,97,1
317,259,3
318,97,1
320,160,1
321,76,1
322,123,1
322,218,2
323,44,1
323,228,2
324,40,3
324,41,4
324,42,1
324,259,2
325,101,1
329,71,1
329,265,2
330,265,1
331,18,1
331,27,2
332,113,1
333,55,2
333,72,1
334,76,1
334,170,2
336,76,1
336,228,2
337,35,1
337,167,2
338,59,5
338,73,4
338,228,1
338,255,3
338,265,2
339,79,1
339,97,2
339,137,3
340,150,1
340,263,2
340,280,3
341,265,1
342,9,1
342,263,2
343,76,3
343,225,2
343,257,1
344,125,2
344,144,1
345,35,1
346,41,1
347,258,1
348,97,1
350,59,1
352,88,1
353,183,1
353,200,2
354,52,2
354,219,1
355,22,2
355,113,1
357,236,1
358,233,2
358,277,1
359,97,1
360,162,1
361,47,1
361,110,3
361,259,2
362,33,1
363,69,1
363,106,2
363,269,3
365,44,1
365,97,3
365,220,2
366,35,1
366,41,4
366,199,2
366,265,3
367,41,1
367,137,3
367,271,2
368,228,1
369,131,1
370,73,1
372,271,1
373,243,1
375,41,2
375,150,1
378,8,1
379,125,2
379,257,1
380,51,1
380,101,3
380,241,2
380,254,4
381,143,1
382,35,1
384,29,2
384,216,1
385,41,1
385,79,3
385,112,4
385,259,2
386,99,1
387,205,1
388,35,1
388,80,2
389,35,1
390,226,2
390,263,1
391,35,1
391,199,3
391,265,2
392,18,2
392,97,1
393,40,3
393,143,2
393,151,1
394,52,2
394,125,1
395,35,1
395,97,2
395,281,3
396,41,1
398,35,2
398,97,1
398,281,3
399,35,1
399,63,2
401,93,2
401,243,1
402,230,2
402,244,1
402,251,3
403,39,1
404,228,1
405,139,1
406,20,1
406,211,2
407,23,3
407,129,5
407,169,1
407,171,2
407,191,4
408,41,2
408,42,3
408,102,1
410,35,1
411,41,1
412,143,1
413,62,1
413,263,2
414,22,1
414,101,2
415,5,2
415,263,1
416,281,1
417,186,1
418,88,1
418,259,2
420,35,2
420,111,1
421,47,3
421,110,2
421,137,1
422,46,1
423,97,1
424,35,3
424,97,2
424,128,1
425,236,1
426,40,1
427,35,1
427,69,2
428,97,2
428,128,4
428,131,5
428,228,3
428,281,1
429,165,2
429,230,1
429,245,3
429,255,4
430,125,2
430,144,1
431,56,3
431,97,1
431,128,2
432,204,1
433,257,1
434,144,1
435,52,1
435,125,2
435,170,5
435,176,3
435,257,4
436,47,1
436,70,2
437,35,2
437,158,1
437,263,3
438,25,3
438,35,2
438,42,1
439,35,2
439,95,1
440,259,1
441,53,2
441,76,1
443,88,1
443,135,2
444,56,1
444,128,2
445,101,1
446,63,2
446,263,1
447,76,1
448,18,1
448,128,3
448,218,2
449,9,2
449,35,1
449,63,3
450,281,1
451,35,5
451,97,2
451,220,1
451,228,3
451,263,4
452,243,1
453,155,1
455,41,1
456,35,2
456,228,1
458,5,3
458,111,2
458,263,1
460,46,2
460,135,1
460,259,3
461,33,1
462,40,1
462,95,2
463,35,1
464,35,1
465,240,2
465,265,1
466,46,1
467,71,1
468,41,1
468,97,2
468,265,3
470,263,1
472,97,1
472,228,2
473,33,1
474,63,2
474,131,3
474,161,4
474,228,1
475,56,1
476,97,1
476,131,2
478,52,1
479,95,1
480,35,1
481,9,2
481,263,1
482,35,1
483,172,1
484,35,1
485,164,1
485,216,2
486,33,1
487,135,1
488,101,1
489,35,2
489,99,1
490,35,3
490,111,2
490,158,1
490,263,4
491,52,3
491,144,1
491,164,2
491,237,4
492,209,1
493,209,1
494,143,1
495,172,1
497,35,1
498,7,3
498,40,1
498,95,2
499,95,1
500,35,1
501,226,1
501,263,2
502,73,1
503,33,1
504,18,2
504,97,1
505,262,1
506,176,1
506,225,2
507,35,2
507,97,1
509,41,1
510,88,1
511,35,1
511,263,2
512,40,1
513,59,4
513,184,5
513,199,2
513,236,3
513,265,1
514,143,1
515,263,1
516,59,1
517,258,1
519,33,3
519,229,1
519,272,2
520,39,1
521,265,1
522,35,1
522,265,2
523,41,4
523,170,3
523,234,2
523,259,1
524,9,2
524,63,1
526,209,1
527,206,1
528,35,3
528,128,2
528,215,1
529,62,2
529,65,5
529,101,4
529,198,3
529,264,1
530,226,2
530,263,1
531,62,2
531,65,3
531,198,1
532,80,1
533,125,2
533,257,1
534,41,1
534,271,2
535,62,1
536,61,1
537,218,1
538,35,1
539,40,1
540,143,1
541,246,1
542,37,1
542,56,2
542,275,3
543,172,1
546,143,2
546,151,1
547,5,1
548,35,1
548,97,2
549,47,1
550,97,1
551,40,1
552,93,1
552,234,2
552,259,3
553,30,2
553,236,1
554,275,1
555,131,1
555,263,2
556,41,2
556,137,1
557,263,1
558,226,1
559,143,1
561,46,1
562,35,3
562,99,2
562,125,1
562,222,4
563,35,1
563,46,2
563,99,3
564,40,2
564,135,1
565,206,1
565,219,2
